library,operation,dtype,channels,duration_s,iterations,warmup,chunk_size,cold_cache,avg_ms,stddev_ms,p50_ms,p90_ms,p99_ms,cv
aus,read,f32,1,10,100,0,4096,0,0.090705,0.002402,0.08993,0.092586,0.101592,0.026481
aus,read,f32,1,1,100,0,4096,0,0.021873,0.000217,0.021823,0.022148,0.022752,0.009942
aus,read,f32,1,300,100,0,4096,0,31.126103,0.542309,30.983688,31.756866,33.560459,0.017423
aus,read,f32,1,30,100,0,4096,0,0.234132,0.004023,0.233427,0.237618,0.243607,0.017182
aus,read,f32,1,5,100,0,4096,0,0.05083,0.001724,0.050269,0.052261,0.058081,0.033919
aus,read,f32,1,600,100,0,4096,0,63.233347,1.507583,62.874826,63.923338,70.432748,0.023842
aus,read,f32,1,60,100,0,4096,0,0.4821,0.017516,0.476154,0.504751,0.532465,0.036333
aus,read,f32,2,10,100,0,4096,0,0.164492,0.003013,0.163602,0.167714,0.176403,0.018318
aus,read,f32,2,1,100,0,4096,0,0.028863,0.001246,0.028294,0.031129,0.032597,0.043165
aus,read,f32,2,300,100,0,4096,0,71.378068,1.16578,71.070718,72.760961,74.537176,0.016332
aus,read,f32,2,30,100,0,4096,0,0.488193,0.029151,0.486304,0.533306,0.552064,0.059711
aus,read,f32,2,5,100,0,4096,0,0.090047,0.003045,0.089546,0.090859,0.09712,0.033812
aus,read,f32,2,600,100,0,4096,0,134.649107,2.767728,134.80299,137.664814,142.952091,0.020555
aus,read,f32,2,60,100,0,4096,0,1.251863,0.067761,1.239515,1.314824,1.396777,0.054128
aus,read,i16,1,10,100,0,4096,0,0.113199,0.004704,0.11165,0.117378,0.130645,0.041558
aus,read,i16,1,1,100,0,4096,0,0.01825,0.000949,0.018025,0.018611,0.023883,0.051991
aus,read,i16,1,300,100,0,4096,0,2.557731,0.128712,2.526421,2.650342,3.110641,0.050323
aus,read,i16,1,30,100,0,4096,0,0.225488,0.064127,0.267553,0.277163,0.289665,0.284391
aus,read,i16,1,5,100,0,4096,0,0.03969,0.001326,0.039458,0.040596,0.045374,0.033421
aus,read,i16,1,600,100,0,4096,0,31.716956,1.148363,31.492758,32.782856,36.477606,0.036207
aus,read,i16,1,60,100,0,4096,0,0.234192,0.00609,0.233386,0.237353,0.265427,0.026006
aus,read,i16,2,10,100,0,4096,0,0.09188,0.002478,0.091416,0.092954,0.105103,0.026974
aus,read,i16,2,1,100,0,4096,0,0.022368,0.000614,0.022207,0.022608,0.025767,0.027441
aus,read,i16,2,300,100,0,4096,0,33.046893,0.515986,32.919127,33.691557,34.692162,0.015614
aus,read,i16,2,30,100,0,4096,0,0.24392,0.003608,0.243034,0.247572,0.256315,0.01479
aus,read,i16,2,5,100,0,4096,0,0.051553,0.001611,0.051453,0.053836,0.056413,0.031256
aus,read,i16,2,600,100,0,4096,0,69.247023,1.079132,69.113088,70.747591,71.586022,0.015584
aus,read,i16,2,60,100,0,4096,0,0.532377,0.036438,0.525716,0.576349,0.648798,0.068445
aus,read,i32,1,10,100,0,4096,0,0.091709,0.00148,0.091331,0.092838,0.096819,0.016135
aus,read,i32,1,1,100,0,4096,0,0.023378,0.001269,0.023018,0.025206,0.026636,0.054266
aus,read,i32,1,300,100,0,4096,0,32.324557,1.351802,31.975751,34.36978,36.110839,0.04182
aus,read,i32,1,30,100,0,4096,0,0.241915,0.012185,0.239249,0.259233,0.279828,0.05037
aus,read,i32,1,5,100,0,4096,0,0.04984,0.001527,0.049318,0.051664,0.055414,0.030638
aus,read,i32,1,600,100,0,4096,0,69.372025,3.749589,68.637181,70.008449,84.527581,0.05405
aus,read,i32,1,60,100,0,4096,0,0.494784,0.027154,0.489446,0.530013,0.589052,0.05488
aus,read,i32,2,10,100,0,4096,0,0.161456,0.0036,0.160372,0.165817,0.177828,0.022296
aus,read,i32,2,1,100,0,4096,0,0.027949,0.000912,0.027776,0.028294,0.029683,0.032633
aus,read,i32,2,300,100,0,4096,0,69.103027,1.211675,68.944963,70.201152,73.444974,0.017534
aus,read,i32,2,30,100,0,4096,0,0.513945,0.019151,0.508956,0.538301,0.57015,0.037264
aus,read,i32,2,5,100,0,4096,0,0.090553,0.0026,0.089596,0.093591,0.099932,0.028715
aus,read,i32,2,600,100,0,4096,0,130.67931,2.220591,130.621771,133.098067,135.878253,0.016993
aus,read,i32,2,60,100,0,4096,0,1.310246,0.042842,1.301096,1.372072,1.423041,0.032698
hound,read,f32,1,10,100,0,4096,0,1.69294,0.091998,1.665004,1.77609,2.051076,0.054342
hound,read,f32,1,1,100,0,4096,0,0.167648,0.006787,0.165247,0.177187,0.191586,0.040486
hound,read,f32,1,300,100,0,4096,0,77.457499,1.837007,76.940602,79.49362,83.379568,0.023716
hound,read,f32,1,30,100,0,4096,0,5.243728,0.589599,4.994682,6.111122,7.282506,0.112439
hound,read,f32,1,5,100,0,4096,0,0.844653,0.062873,0.824271,0.913475,1.138192,0.074436
hound,read,f32,1,600,100,0,4096,0,159.13442,5.898629,157.252188,163.513239,182.857456,0.037067
hound,read,f32,1,60,100,0,4096,0,10.111284,0.759302,9.802047,10.872783,13.380744,0.075095
hound,read,f32,2,10,100,0,4096,0,3.488405,0.444041,3.344458,3.694803,5.341152,0.127291
hound,read,f32,2,1,100,0,4096,0,0.330805,0.013769,0.32602,0.345556,0.380477,0.041622
hound,read,f32,2,300,100,0,4096,0,158.841808,7.143756,156.992184,164.375297,182.187521,0.044974
hound,read,f32,2,30,100,0,4096,0,10.590441,1.306271,10.00943,12.052126,15.674268,0.123344
hound,read,f32,2,5,100,0,4096,0,1.684438,0.090498,1.65627,1.803735,2.030237,0.053726
hound,read,f32,2,600,100,0,4096,0,317.844005,7.197874,317.842522,323.112401,345.697845,0.022646
hound,read,f32,2,60,100,0,4096,0,30.869219,1.08878,30.441476,32.270158,33.78517,0.035271
hound,read,i16,1,10,100,0,4096,0,4.072997,0.035839,4.065711,4.117407,4.194466,0.008799
hound,read,i16,1,1,100,0,4096,0,0.409977,0.013816,0.40422,0.430081,0.463575,0.033699
hound,read,i16,1,300,100,0,4096,0,136.289476,3.588299,135.160587,139.866626,148.589562,0.026329
hound,read,i16,1,30,100,0,4096,0,12.169147,0.241081,12.127069,12.268976,13.009189,0.019811
hound,read,i16,1,5,100,0,4096,0,2.042293,0.089886,2.018108,2.081139,2.269315,0.044012
hound,read,i16,1,600,100,0,4096,0,271.507472,4.316582,270.250015,275.134938,288.570006,0.015899
hound,read,i16,1,60,100,0,4096,0,24.637636,0.471213,24.480442,25.044132,26.448051,0.019126
hound,read,i16,2,10,100,0,4096,0,8.05726,0.127757,8.026041,8.130659,8.527709,0.015856
hound,read,i16,2,1,100,0,4096,0,0.806359,0.009431,0.80402,0.810879,0.855152,0.011696
hound,read,i16,2,300,100,0,4096,0,272.353838,5.040236,270.868461,276.909523,291.498469,0.018506
hound,read,i16,2,30,100,0,4096,0,24.352165,0.444706,24.246134,24.499984,26.107776,0.018261
hound,read,i16,2,5,100,0,4096,0,4.029877,0.036341,4.017234,4.067726,4.171026,0.009018
hound,read,i16,2,600,100,0,4096,0,543.406346,6.895219,540.938908,553.727523,569.983019,0.012689
hound,read,i16,2,60,100,0,4096,0,48.972348,1.273415,48.591373,49.38589,54.790363,0.026003
hound,read,i32,1,10,100,0,4096,0,2.45018,0.172444,2.411269,2.681952,2.995813,0.07038
hound,read,i32,1,1,100,0,4096,0,0.23158,0.016369,0.223126,0.248719,0.285655,0.070686
hound,read,i32,1,300,100,0,4096,0,108.668879,3.793376,107.349018,113.962424,122.513268,0.034908
hound,read,i32,1,30,100,0,4096,0,7.114267,0.730292,6.80442,8.274645,9.524229,0.102652
hound,read,i32,1,5,100,0,4096,0,1.241016,0.050173,1.229548,1.287994,1.385091,0.040429
hound,read,i32,1,600,100,0,4096,0,227.91446,8.099641,227.824539,236.252422,251.829223,0.035538
hound,read,i32,1,60,100,0,4096,0,14.450657,1.267814,14.169409,15.859245,17.335142,0.087734
hound,read,i32,2,10,100,0,4096,0,4.667688,0.307959,4.601058,4.960201,5.514109,0.065977
hound,read,i32,2,1,100,0,4096,0,0.480055,0.026211,0.480304,0.510337,0.55594,0.0546
hound,read,i32,2,300,100,0,4096,0,226.821679,7.855985,226.461766,235.047298,253.435866,0.034635
hound,read,i32,2,30,100,0,4096,0,13.967999,0.865566,14.012777,14.446814,15.786028,0.061968
hound,read,i32,2,5,100,0,4096,0,2.267056,0.141358,2.185359,2.483516,2.610085,0.062353
hound,read,i32,2,600,100,0,4096,0,488.574982,28.486489,494.531398,520.535741,536.171156,0.058305
hound,read,i32,2,60,100,0,4096,0,41.048317,1.969648,40.594105,41.974298,50.486511,0.047984
aus,write,f32,1,10,100,0,4096,0,1.137036,0.075254,1.139071,1.213122,1.252355,0.066184
aus,write,f32,1,1,100,0,4096,0,0.260441,0.01343,0.261249,0.273537,0.292426,0.051565
aus,write,f32,1,300,100,0,4096,0,1.11467,0.056592,1.11284,1.164292,1.195824,0.05077
aus,write,f32,1,30,100,0,4096,0,1.129094,0.088798,1.130079,1.230641,1.299781,0.078645
aus,write,f32,1,5,100,0,4096,0,0.619379,0.028819,0.619679,0.650961,0.687079,0.046529
aus,write,f32,1,600,100,0,4096,0,1.147627,0.063354,1.143653,1.190613,1.256351,0.055205
aus,write,f32,1,60,100,0,4096,0,1.149748,0.041569,1.149055,1.199333,1.248775,0.036155
aus,write,f32,2,10,100,0,4096,0,1.010353,0.053386,1.011297,1.05642,1.166081,0.052839
aus,write,f32,2,1,100,0,4096,0,0.24126,0.013683,0.239381,0.255222,0.280078,0.056714
aus,write,f32,2,300,100,0,4096,0,1.269538,0.126735,1.284905,1.34595,1.429337,0.099827
aus,write,f32,2,30,100,0,4096,0,1.144112,0.066608,1.147399,1.188505,1.262501,0.058218
aus,write,f32,2,5,100,0,4096,0,0.565404,0.030749,0.560171,0.602669,0.642088,0.054385
aus,write,f32,2,600,100,0,4096,0,1.096377,0.078453,1.100699,1.166976,1.229144,0.071557
aus,write,f32,2,60,100,0,4096,0,1.153355,0.066796,1.151191,1.211553,1.297194,0.057915
aus,write,i16,1,10,100,0,4096,0,0.640322,0.030585,0.63761,0.676431,0.713453,0.047765
aus,write,i16,1,1,100,0,4096,0,0.353708,0.059377,0.367195,0.405887,0.516456,0.16787
aus,write,i16,1,300,100,0,4096,0,0.625946,0.025035,0.626682,0.649262,0.682981,0.039995
aus,write,i16,1,30,100,0,4096,0,0.637748,0.028845,0.636245,0.665186,0.711176,0.045229
aus,write,i16,1,5,100,0,4096,0,0.414905,0.028636,0.41976,0.445884,0.474324,0.069019
aus,write,i16,1,600,100,0,4096,0,0.623191,0.02226,0.618428,0.646115,0.682303,0.03572
aus,write,i16,1,60,100,0,4096,0,0.652756,0.037087,0.647596,0.693117,0.770018,0.056816
aus,write,i16,2,10,100,0,4096,0,0.606156,0.046014,0.599697,0.663374,0.722216,0.075911
aus,write,i16,2,1,100,0,4096,0,0.188851,0.012373,0.190244,0.199602,0.225437,0.065518
aus,write,i16,2,300,100,0,4096,0,0.629528,0.030152,0.62739,0.652711,0.669149,0.047896
aus,write,i16,2,30,100,0,4096,0,0.626767,0.040555,0.627386,0.665017,0.734155,0.064705
aus,write,i16,2,5,100,0,4096,0,0.370211,0.024637,0.371176,0.395291,0.447599,0.066549
aus,write,i16,2,600,100,0,4096,0,0.624654,0.025267,0.621661,0.642351,0.691314,0.04045
aus,write,i16,2,60,100,0,4096,0,0.640218,0.031512,0.636349,0.67804,0.743581,0.04922
aus,write,i32,1,10,100,0,4096,0,1.148935,0.08157,1.147961,1.196949,1.28658,0.070997
aus,write,i32,1,1,100,0,4096,0,0.266831,0.015318,0.264252,0.288144,0.311092,0.057409
aus,write,i32,1,300,100,0,4096,0,1.152824,0.048998,1.148973,1.186009,1.281384,0.042503
aus,write,i32,1,30,100,0,4096,0,1.135202,0.069119,1.143232,1.182118,1.247595,0.060887
aus,write,i32,1,5,100,0,4096,0,0.614056,0.034769,0.612691,0.654168,0.6968,0.056622
aus,write,i32,1,600,100,0,4096,0,1.150395,0.073047,1.145543,1.203745,1.313564,0.063498
aus,write,i32,1,60,100,0,4096,0,1.136078,0.080334,1.134921,1.221874,1.289244,0.070712
aus,write,i32,2,10,100,0,4096,0,1.003084,0.07763,1.002278,1.050308,1.3214,0.077391
aus,write,i32,2,1,100,0,4096,0,0.246714,0.015241,0.245626,0.265135,0.290671,0.061777
aus,write,i32,2,300,100,0,4096,0,1.120499,0.042133,1.126079,1.163837,1.209881,0.037602
aus,write,i32,2,30,100,0,4096,0,1.140578,0.059561,1.143691,1.192868,1.250715,0.05222
aus,write,i32,2,5,100,0,4096,0,0.564542,0.036659,0.558638,0.60741,0.650237,0.064936
aus,write,i32,2,600,100,0,4096,0,1.090358,0.091054,1.108117,1.177045,1.207716,0.083508
aus,write,i32,2,60,100,0,4096,0,1.091245,0.067969,1.096825,1.153682,1.244274,0.062286
hound,write,f32,1,10,100,0,4096,0,2.399484,0.062078,2.403447,2.464662,2.527404,0.025871
hound,write,f32,1,1,100,0,4096,0,0.374285,0.021682,0.376907,0.397264,0.409987,0.057929
hound,write,f32,1,300,100,0,4096,0,64.654121,3.328325,63.523919,67.994328,75.478431,0.051479
hound,write,f32,1,30,100,0,4096,0,6.646388,0.222358,6.595702,6.839991,7.583536,0.033455
hound,write,f32,1,5,100,0,4096,0,1.283875,0.06457,1.271806,1.356969,1.437798,0.050293
hound,write,f32,1,600,100,0,4096,0,126.466964,15.741792,128.607139,144.268406,149.925543,0.124474
hound,write,f32,1,60,100,0,4096,0,12.857322,0.524461,12.737584,13.270915,14.89805,0.040791
hound,write,f32,2,10,100,0,4096,0,2.310658,0.08618,2.295155,2.418511,2.573738,0.037297
hound,write,f32,2,1,100,0,4096,0,0.367348,0.014826,0.366892,0.383496,0.409327,0.040361
hound,write,f32,2,300,100,0,4096,0,64.778665,3.684078,64.708984,69.394226,74.471118,0.056872
hound,write,f32,2,30,100,0,4096,0,6.639881,0.263911,6.611521,6.842873,7.239179,0.039746
hound,write,f32,2,5,100,0,4096,0,1.217468,0.052843,1.209131,1.264108,1.393262,0.043404
hound,write,f32,2,600,100,0,4096,0,127.625517,7.818947,127.773655,138.038478,147.494093,0.061265
hound,write,f32,2,60,100,0,4096,0,12.850539,0.267579,12.847305,13.152152,13.447926,0.020822
hound,write,i16,1,10,100,0,4096,0,0.672095,0.034298,0.665188,0.71165,0.788649,0.051031
hound,write,i16,1,1,100,0,4096,0,0.311691,0.061106,0.307255,0.398617,0.461258,0.196048
hound,write,i16,1,300,100,0,4096,0,15.553929,0.392269,15.498752,16.053251,16.748573,0.02522
hound,write,i16,1,30,100,0,4096,0,1.657979,0.078044,1.653626,1.740671,1.816216,0.047072
hound,write,i16,1,5,100,0,4096,0,0.445709,0.029585,0.444429,0.482869,0.513896,0.066378
hound,write,i16,1,600,100,0,4096,0,51.202158,1.928353,50.801046,53.167322,56.850137,0.037662
hound,write,i16,1,60,100,0,4096,0,4.924867,0.204674,4.88763,5.11754,5.509178,0.041559
hound,write,i16,2,10,100,0,4096,0,0.636362,0.038851,0.632296,0.671618,0.778778,0.061052
hound,write,i16,2,1,100,0,4096,0,0.2156,0.01503,0.213749,0.22922,0.265767,0.069712
hound,write,i16,2,300,100,0,4096,0,15.129394,0.435968,15.004761,15.755904,16.555639,0.028816
hound,write,i16,2,30,100,0,4096,0,1.647139,0.076362,1.657093,1.718097,1.805747,0.04636
